jumlah data,BubbleSort, InsertionSort, SelectionSort, MergeSort, QuickSort
10,0.607500,2.747500,2.242500,4.990000,25.017500
100,65.292500,27.395000,62.412500,55.640000,210.125000
500,1564.412500,515.485000,1403.150000,268.400000,1089.767500
1000,6006.902500,2070.962500,6445.460000,622.050000,2354.430000
10000,668068.285000,190864.305000,619796.720000,6426.395000,19216.582500
