jumlah data,BubbleSort, InsertionSort, SelectionSort, MergeSort, QuickSort
10,2.495000,0.000000,2.492500,7.480000,21.167500
100,65.522500,25.342500,62.807500,55.872500,211.607500
500,1552.300000,476.842500,1490.670000,305.642500,1155.207500
1000,6355.515000,1899.655000,6138.510000,575.242500,1683.800000
10000,671343.330000,189027.565000,631224.547500,6750.315000,18565.602500
